Jurisdiction,Legislative process,Count
Arkansas,INACTIVE BILLS,1
California,ACTIVE BILLS,5
California,INACTIVE BILLS,1
California,LAWS SIGNED (TO DATE),2
Colorado,INACTIVE BILLS,1
Colorado,LAWS SIGNED (TO DATE),1
Connecticut,INACTIVE BILLS,1
Florida,INACTIVE BILLS,1
Hawaii,ACTIVE BILLS,1
Idaho,INACTIVE BILLS,1
Illinois,ACTIVE BILLS,4
Iowa,ACTIVE BILLS,1
Maryland,INACTIVE BILLS,3
Massachusetts,ACTIVE BILLS,2
Minnesota,ACTIVE BILLS,1
Montana,INACTIVE BILLS,1
Nebraska,ACTIVE BILLS,1
Nevada,INACTIVE BILLS,1
New Mexico,INACTIVE BILLS,2
New York,ACTIVE BILLS,8
Oklahoma,ACTIVE BILLS,1
Rhode Island,INACTIVE BILLS,1
Texas,INACTIVE BILLS,4
Texas,LAWS SIGNED (TO DATE),1
Utah,LAWS SIGNED (TO DATE),2
Vermont,ACTIVE BILLS,2
Virginia,INACTIVE BILLS,4
Washington,INACTIVE BILLS,2
