Jurisdiction,Legislative process,Introduced,In committee,In cross chamber,In cross committee,Passed,Signed,Statute/bill,Scope,Governance,Program and documentation,Assessments,Training,Responsible individual,Transparency,General notice,Labeling/notification,Explanation/incident reporting,Developer documentation,Assurance,Registration,Third-party review,Individual rights,Opt out/appeal,Nondiscrimination
California,LAWS SIGNED (TO DATE),,,,,,1,AB 2013,G,,,,,,,2,,,,,,,,,
California,LAWS SIGNED (TO DATE),,,,,,1,SB 942,G,,,,,,,2,2,,,,,,,,
Colorado,LAWS SIGNED (TO DATE),,,,,,1,SB 205,D,,1.2,1.2,,,,1.2,1,1.2,2,,,,,1,1.2
Utah,LAWS SIGNED (TO DATE),,,,,,1,SB 149,G,,,,,,,,1,,,,,,,,
Utah,LAWS SIGNED (TO DATE),,,,,,1,SB 226,G,,,,,,,,1,,,,,,,,
Texas,LAWS SIGNED (TO DATE),,,,,,1,HB 149,A,,"1,2,3",,,,,,,,,,,,,,1.2
California,ACTIVE BILLS,,,,1,,,AB 1018,D,,,2,,1,,,1,,2,,,1.2,,1,
California,ACTIVE BILLS,,,,1,,,AB 412,G,,2,,,,,2,,,,,,,,,
California,ACTIVE BILLS,,,,1,,,SB 11,D,,,,,,,,1.2,,,,,,,,
California,ACTIVE BILLS,,,,1,,,SB 53,F,,2,,,,,2,,2,,,,,,,
California,ACTIVE BILLS,,,,1,,,SB 420,D,,1.2,1.2,,,,1,1,,2,,,,,,1.2
Hawaii,ACTIVE BILLS,,1,,,,,SB 59,D,,1,1,,,,1,1,1,,,1,,,1,1
Illinois,ACTIVE BILLS,,1,,,,,HB 3506,F,,2,2,,,,2,,,,,,2,,,
Illinois,ACTIVE BILLS,,1,,,,,SB 1929,G,,,,,,,,2,,,,,,,,
Illinois,ACTIVE BILLS,,1,,,,,SB 1792,G,,,,,,,,1.2,,,,,,,,
Illinois,ACTIVE BILLS,,1,,,,,SB 2203,D,,1,1,,1,,1,1,,,,1,,,1,1
Iowa,ACTIVE BILLS,,1,,,,,HB 406,A*,,,,,,,,2,,,,,,,,
Massachusetts,ACTIVE BILLS,,1,,,,,HB 94,"A,D",,1,1,,,,1.2,1,2,2,,,,,1,1.2
Massachusetts,ACTIVE BILLS,,1,,,,,HB 97,"A,D",,1,1,,,,1.2,1,2,2,,,,,1,1.2
Minnesota,ACTIVE BILLS,,1,,,,,SF 1886,A,,,,,,,,1,,,,,,,1,
Nebraska,ACTIVE BILLS,,1,,,,,LB 642,"A,D",,1,1,,,,,1,2,2,,2,,,1,1.2
New York,ACTIVE BILLS,,1,,,,,AB 768 / SB 1962,"A,F,D",,1,1,,,,1.2,1,,2,,,,,1,1.2
New York,ACTIVE BILLS,,1,,,,,AB 3265,D,,,1,,,,1,,1,,,,1,,1,1.2
New York,ACTIVE BILLS,,1,,,,,AB 3356,D,,2,2,,2,,,2,2,,,2,,,,2
New York,ACTIVE BILLS,,,,1,,,AB 3411 / SB 934,G,,,,,,,,1.2,,,,,,,,
New York,ACTIVE BILLS,,,,,1,,AB 6453 / SB  6953,F,,2,2,,,,2,,,2,,2,2,,,
New York,ACTIVE BILLS,,,,1,,,AB 6540 / SB  6954,G,,,,,,,,2,,,,,,,,
New York,ACTIVE BILLS,,,,1,,,AB 6578 / SB  6955,G,,,,,,,2,,,,,,,,,
New York,ACTIVE BILLS,,,,1,,,AB 8884 / SB  1169,D,,1.2,1.2,,,,,1,,2,,1.2,1.2,,1,1.2
Oklahoma,ACTIVE BILLS,,1,,,,,HB 1916,"A,D",,1,1,,,,,1,1,,,,1,,1,
Vermont,ACTIVE BILLS,,1,,,,,HB 340,D,,1.2,1.2,,,,1,1,,,,1.2,1.2,,1,1.2
Vermont,ACTIVE BILLS,,1,,,,,HB 341,"F,D,G",,2,2,,,,,,,2,,2,,,,1.2
Arkansas,INACTIVE BILLS,,1,,,,,SB 258,D,,1,1,,,,1.2,1,1.2,2,,,,,1,1.2
California,INACTIVE BILLS,,1,,,,,SB 468,D,,1,,1,1,,,,,,,,,,,
Connecticut,INACTIVE BILLS,,,1,,,,SB 2,"A,F,D,G",,1.2,1,,,,,1.2,,2.3,,,,,1,"1,2,3"
Colorado,INACTIVE BILLS,1,,,,,,SB 318,D,,1,1,,,,1.2,1,1,2,,,,,1,1
Florida,INACTIVE BILLS,,1,,,,,HB 369,G,,,,,,,2,2,,,,,,,,
Idaho,INACTIVE BILLS,,1,,,,,HB 127,A,,,,,,,,1,,,,,,,,
Maryland,INACTIVE BILLS,,1,,,,,HB 823,G,,,,,,,2,,,,,,,,,
Maryland,INACTIVE BILLS,,1,,,,,HB 1331,D,,1,1,,,,1.2,,2,2,,,,,1,1.2
Maryland,INACTIVE BILLS,,1,,,,,SB 936,D,,1,1,,,,,1,,2,,,,,1,1.2
Montana,INACTIVE BILLS,,1,,,,,SB 452,G,,,,,,,,1,,,,,,,1,
Nevada,INACTIVE BILLS,,1,,,,,SB199,A,,2,2,,,,,,,,,2,,,,
New Mexico,INACTIVE BILLS,,1,,,,,HB 60,"A,D",,1,1,,,,1.2,1.2,1.2,2,,,,,,1.2
New Mexico,INACTIVE BILLS,,1,,,,,HB 401,G,,,,,,,,2,2,,,2,2,,,
Rhode Island,INACTIVE BILLS,,1,,,,,SB 627,"F,D,G",,1.2,1.2,,,,,1.2,2,2,,,,,1,"1,2,3"
Texas,INACTIVE BILLS,,1,,,,,HB 1709,D,,1.2,1.2,,,,,1.2,,2,,,,,,"1,2,3"
Texas,INACTIVE BILLS,,1,,,,,HB 5496,A,,,,,,,,1,1,,,,,,,1
Texas,INACTIVE BILLS,,,,1,,,SB 668,A,,,,,,,1,,,,,,,,,
Texas,INACTIVE BILLS,,1,,,,,SB 2966,D,,1,,,,,,,,,,,,,,
Virginia,INACTIVE BILLS,,1,,,,,HB 2121,G,,,,,,,,2,,,,,,,,
Virginia,INACTIVE BILLS,,1,,,,, HB 2250,G,,,,,,,2,,,,,,,,,
Virginia,INACTIVE BILLS,,1,,,,,HB 2554,G,,,,,,,,2,,,,,,,,
Virginia,INACTIVE BILLS,,,,,1,,HB 2094,D,,1,1.2,,,,1,1.2,,2,,,,,,1.2
Washington,INACTIVE BILLS,,1,,,,,HB 1168,G,,,,,,,,2,,,,,,,,
Washington,INACTIVE BILLS,,1,,,,,HB 1170,G,,,,,,,2,,,,,,,,,
