State,Status
AL,Enacted (covers everyone)
AK,Legislation pending (covers minors only)
AZ,Enacted (covers everyone)
AR,Legislation pending (covers everyone)
CA,Enacted (covers everyone)
CO,Enacted (covers everyone)
CT,Legislation pending (covers everyone)
DE,Enacted (covers everyone)
FL,Enacted (covers everyone)
GA,Enacted (covers everyone)
HI,Enacted (covers everyone)
ID,Enacted (covers everyone)
IL,Enacted (covers everyone)
IN,Enacted (covers everyone)
IA,Enacted (covers everyone)
KS,Legislation pending (covers everyone)
KY,Enacted (covers minors only)
LA,Enacted (covers everyone)
ME,Legislation pending (covers minors only)
MD,Legislation pending (covers everyone)
MA,Enacted (covers everyone)
MI,Legislation pending (covers everyone)
MN,Enacted (covers everyone)
MS,Enacted (covers minors only)
MO,Legislation pending (covers everyone)
MT,Legislation pending (covers everyone)
NE,Legislation pending (covers everyone)
NV,Legislation pending (covers everyone)
NH,Enacted (covers everyone)
NJ,Legislation pending (covers everyone)
NM,Legislation pending (covers everyone)
NY,Enacted (covers everyone)
NC,Enacted (covers everyone)
ND,Legislation pending (covers everyone)
OH,No legislation enacted
OK,Enacted (covers minors only)
OR,Legislation pending (covers everyone)
PA,Enacted (covers everyone)
RI,Legislation pending (covers everyone)
SC,Legislation pending (covers everyone)
SD,Enacted (covers everyone)
TN,Enacted (covers minors only)
TX,Enacted (covers everyone)
UT,Enacted (covers everyone)
VT,Enacted (covers everyone)
VA,Enacted (covers everyone)
WA,Enacted (covers everyone)
WV,Legislation pending (covers everyone)
WI,Enacted (covers minors only)
WY,No legislation enacted
